journal_title	domain
Journal of Education, Health and Sport	SSH
Journal of Educational Administration	SSH
International Journal of Psychosocial Rehabilitation	SSH
Religions	Unknown or multidisciplinary
Norsk Epidemiologi	STEM
European Geriatric Medicine	STEM
Innovation in Aging	SSH
BMC Geriatrics	STEM
Bioethics	Unknown or multidisciplinary
Scandinavian Journal of Caring Sciences	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Social Inclusion	SSH
JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH	STEM
Alzheimer's Research & Therapy Open Access	SSH
Humanities and Art	SSH
The Review of Korean Cultural Studies	SSH
Slovak Journal of Public Policy and Public Administration	STEM
Güzel Sanatlar Enstitüsü Dergisi	Unknown or multidisciplinary
Innovation in Aging	SSH
International Journal of Research Publications	Unknown or multidisciplinary
üha	Unknown or multidisciplinary
Wiadomości Lekarskie	Unknown or multidisciplinary
AYNA Klinik Psikoloji Dergisi	SSH
Frontiers in Psychology	SSH
Innovation in Aging	SSH
Food Quality and Preference	SSH
Korea Gerontological Society	SSH
Świat i Słowo	Unknown or multidisciplinary
Interactive Journal of Medical Research	STEM
Frontiers in Psychology	SSH
Educational Process: International Journal	SSH
Academy of Management Proceedings	STEM
Sustainability	Unknown or multidisciplinary
Psychiatry Research	SSH
Zbornik radova Filozofskog fakulteta u Pristini	Unknown or multidisciplinary
Malaysian Online Journal of Educational Technology	SSH
SSRN Electronic Journal	Unknown or multidisciplinary
Current Research in Behavioral Sciences	SSH
Demography	STEM
Public Policy & Aging Report	SSH
SSRN Electronic Journal	Unknown or multidisciplinary
European Journal of Public Health	STEM
JMIR Formative Research	Unknown or multidisciplinary
Autism	Unknown or multidisciplinary
Perspectives on Psychological Science	SSH
Addiction Research and Adolescent Behaviour	SSH
Innovation in Aging	SSH
International Journal of Environmental Research and Public Health	STEM
Population Medicine	STEM
Educational Management Administration & Leadership	SSH
BMC Nursing	STEM
Psychiatry Research	SSH
Innovation in Aging	SSH
Working with Older People	Unknown or multidisciplinary
Social Problems	SSH
Psychology of Popular Media	SSH
Innovation in Aging	SSH
Academy of Management Proceedings	STEM
Personality and Individual Differences	Unknown or multidisciplinary
Journal of Qualitative Research in Education	SSH
Psychosomatic Medicine	SSH
Stimulus: A Medical Humanities Journal	SSH
Academia Letters	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
Sexual Addiction & Compulsivity	Unknown or multidisciplinary
Reviews of Management Sciences	STEM
Eurasian Journal of Educational Research	SSH
Fırat Üniversitesi Sosyal Bilimler Dergisi	Unknown or multidisciplinary
Psychiatry Research	SSH
Pakistan Journal of Health Sciences	STEM
Public Health	STEM
Assessment	Unknown or multidisciplinary
Activities, Adaptation & Aging	SSH
Frontiers in Psychology	SSH
BMJ Health & Care Informatics Online	STEM
Educational Process: International Journal	SSH
PLOS ONE	Unknown or multidisciplinary
Educational Process: International Journal	SSH
ELH	Unknown or multidisciplinary
The Back Letter	Unknown or multidisciplinary
eClinicalMedicine	Unknown or multidisciplinary
International Journal of Computers and Applications	STEM
Études britanniques contemporaines	Unknown or multidisciplinary
Review of General Psychology	SSH
Frontiers in Psychology	SSH
Academy of Management Proceedings	STEM
BMC Psychology	SSH
New Trends and Issues Proceedings on Humanities and Social Sciences	SSH
Frontiers in Integrative Neuroscience	STEM
Australian Literary Studies	SSH
Streams of Consciousness	SSH
üha	Unknown or multidisciplinary
Human Resource Management International Digest	STEM
Perspectives on Psychological Science	SSH
Information Technology & Tourism	STEM
SCIENCE AND SPORT: current trends	STEM
International Journal of Academic Research	Unknown or multidisciplinary
Aging & Mental Health	SSH
Scandinavian Journal of Caring Sciences	Unknown or multidisciplinary
Personality and Individual Differences	Unknown or multidisciplinary
The Back Letter	Unknown or multidisciplinary
Science Almanac	STEM
SSRN Electronic Journal	Unknown or multidisciplinary
Assessment	Unknown or multidisciplinary
Acta Psychologica Sinica	SSH
The Lancet	Unknown or multidisciplinary
Current Psychiatry	SSH
Journal of Affective Disorders Reports	STEM
Archives of Internal Medicine	STEM
International Journal of Psychosocial Rehabilitation	SSH
Journal of Social Science	SSH
European Journal of Public Health	STEM
Social Indicators Research	SSH
The Gerontologist	Unknown or multidisciplinary
Health Education	SSH
EXPLORE	Unknown or multidisciplinary
Gerontology & Geriatrics Studies	SSH
Medicine Anthropology Theory	SSH
BMJ	Unknown or multidisciplinary
Zoon Politikon	SSH
Journal of Aging and Health	SSH
Archives of Gerontology and Geriatrics	STEM
Personality and Individual Differences	Unknown or multidisciplinary
Psychological Studies	SSH
The Gerontologist	Unknown or multidisciplinary
Gerontechnology	STEM
Research Features	Unknown or multidisciplinary
The Gerontologist	Unknown or multidisciplinary
The Missouri Review	Unknown or multidisciplinary
MOJ Addiction Medicine & Therapy	SSH
The Lancet	Unknown or multidisciplinary
International Journal of Public Health	STEM
Journal of Pain and Symptom Management	STEM
Clinical Child Psychology and Psychiatry	SSH
Frontiers in Psychology	SSH
ISGUC, The Journal of Industrial Relations and Human Resources	SSH
Advances in Psychological Science	SSH
Journal of Social and Personal Relationships	SSH
Research in Gerontological Nursing	STEM
International Journal of Environmental Research and Public Health	STEM
Perspectives in Public Health	STEM
Innovation in Aging	SSH
Health Affairs	STEM
Australasian Journal on Ageing	SSH
American Journal of Public Health	STEM
International Journal of Information and Education Technology	SSH
Jurnal Riset Psikologi	SSH
Schizophrenia Bulletin	Unknown or multidisciplinary
Procedia - Social and Behavioral Sciences	SSH
Computers in Human Behavior	SSH
Psychosomatic Medicine	SSH
Habitus	Unknown or multidisciplinary
The Massachusetts Review	Unknown or multidisciplinary
Scientific Reports of Bukhara State University	STEM
International e-Journal of Educational Studies	SSH
Adaptive Human Behavior and Physiology	SSH
Frontiers in Art Research	SSH
Nature	Unknown or multidisciplinary
PsycCRITIQUES	Unknown or multidisciplinary
Callaloo	Unknown or multidisciplinary
The Lancet	Unknown or multidisciplinary
Iğdır Üniversitesi Sosyal Bilimler Dergisi	Unknown or multidisciplinary
Australian Journal of Social Issues	SSH
International Journal of Social Science And Human Research	SSH
Journal of Social Science	SSH
Addicta: The Turkish Journal on Addictions	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
Current Psychology	SSH
Scandinavian Journal of Caring Sciences	Unknown or multidisciplinary
Aging & Mental Health	SSH
SSRN Electronic Journal	Unknown or multidisciplinary
Nursing	STEM
PsycCRITIQUES	Unknown or multidisciplinary
He Rourou	Unknown or multidisciplinary
Archives of Gerontology and Geriatrics	STEM
AMA Journal of Ethics	Unknown or multidisciplinary
Health Affairs	STEM
Acta Psychologica Sinica	SSH
Health & Social Care in the Community	SSH
The International Journal of Aging and Human Development	SSH
Current Cardiology Reviews	Unknown or multidisciplinary
Problemy Opiekuńczo-Wychowawcze	Unknown or multidisciplinary
The Pharmaceutical Journal	STEM
Listening	Unknown or multidisciplinary
Journal of Mental Health Disorders	STEM
KnE Life Sciences	Unknown or multidisciplinary
CITISE	Unknown or multidisciplinary
Creative  Saplings	Unknown or multidisciplinary
Home Healthcare Now	STEM
AMA Journal of Ethics	Unknown or multidisciplinary
International Journal of Psychological Research and Reviews	SSH
Academy of Management Annual Meeting Proceedings	STEM
Brain & Life	STEM
New Scientist	Unknown or multidisciplinary
Advances in Geriatric Medicine and Research	STEM
Psychology in the Schools	SSH
Journal of Interpersonal Violence	Unknown or multidisciplinary
Journal of Business Research	STEM
Journal of Child Psychology and Psychiatry	SSH
Scandinavian Psychologist	SSH
Psychoneuroendocrinology	SSH
International Journal of Academic Research	Unknown or multidisciplinary
Journal of Gerontological Social Work	SSH
Archives of Physical Medicine and Rehabilitation	STEM
Sovremennye issledovaniya sotsialnykh problem	Unknown or multidisciplinary
AMA Journal of Ethics	Unknown or multidisciplinary
Heliyon	Unknown or multidisciplinary
Gerontology	Unknown or multidisciplinary
New Vistas	Unknown or multidisciplinary
International Journal of Geriatric Psychiatry	SSH
The Korean Journal of Psychology: General	SSH
Psychiatry Research	SSH
Psychology and Psychotherapy:Research Study	SSH
BMJ	Unknown or multidisciplinary
Psychology and Psychotherapy:Research Study	SSH
SSRN Electronic Journal	Unknown or multidisciplinary
EXPLORE	Unknown or multidisciplinary
Biomedical Journal of Scientific & Technical Research	STEM
SSRN Electronic Journal	Unknown or multidisciplinary
Scientia et Fides	Unknown or multidisciplinary
Journal of Refugee Studies	SSH
EXPLORE	Unknown or multidisciplinary
Brain & Life	STEM
Journal of community welfare	SSH
SALUTE E SOCIETÀ	Unknown or multidisciplinary
Asia Policy	Unknown or multidisciplinary
Chelovek	Unknown or multidisciplinary
Social Research: An International Quarterly	SSH
Magyar Gerontológia	Unknown or multidisciplinary
Classica Cracoviensia	Unknown or multidisciplinary
Religions	Unknown or multidisciplinary
International Journal of Medicine	STEM
BMJ	Unknown or multidisciplinary
PsychEverywhere	SSH
The Gerontologist	Unknown or multidisciplinary
Brain & Life	STEM
The American Journal of Geriatric Psychiatry	SSH
Journal of Broadcasting & Electronic Media	SSH
European Journal of Psychological Assessment	SSH
International Journal of Behavioral Development	SSH
International Journal of Psychology	SSH
The Lancet	Unknown or multidisciplinary
biblical interpretation	SSH
Home Healthcare Now	STEM
Journal of Christian Nursing	STEM
AJN, American Journal of Nursing	STEM
Arendt Studies	SSH
Scriptura	Unknown or multidisciplinary
British Medical Bulletin	STEM
BMJ	Unknown or multidisciplinary
BMJ	Unknown or multidisciplinary
BMC Psychiatry	SSH
International Journal of Psychosocial Rehabilitation	SSH
